offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2045067191,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-wesola-80m2-mzn2045067191,Mieszkanie w doskonałej lokalizacji Gdańska,999000.0,PLN,12488.0,80.0,3.0,Gdansk,Siedlce,Wesola,54.3502204,18.6349537,,
mzn2045494851,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-szafarnia-50m2-mzn2045494851,Gotowiec inwestycyjny w centrum Gdańska,1199000.0,PLN,23980.0,50.0,2.0,Gdansk,Srodmiescie,Szafarnia,54.35035155,18.6558259,,
mzn2045354238,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-letnica-bernarda-filarskiego-84m2-mzn2045354238,4 pokojowy apartament blisko morza,1799000.0,PLN,21235.0,84.72,4.0,Gdansk,Letnica,Bernarda,54.3943388,18.4976353,,
mzn2045354483,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-chmielna-77m2-mzn2045354483,Dwupoziomowy Apartament Granaria Wyspa Spichrzów,2030800.0,PLN,26063.0,77.92,3.0,Gdansk,Srodmiescie,Chmielna,54.35035155,18.6558259,,
mzn2044173549,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-suchanino-karola-kurpinskiego-41m2-mzn2044173549,2 pokoje na Suchaninie,533000.0,PLN,12721.0,41.9,2.0,Gdansk,Suchanino,Karola,54.3727577,18.6070158,,
mzn2045623174,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-siedlce-kartuska-116m2-mzn2045623174,II poziomowe z ogródkiem i GARAŻEM,1399000.0,PLN,11988.0,116.7,3.0,Gdansk,Siedlce,Kartuska,54.3488205,18.5305699,,
mzn2044591415,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-ks-jerzego-popieluszki-64m2-mzn2044591415,3 pokoje na Dokach,1460680.0,PLN,22685.0,64.39,3.0,Gdansk,Srodmiescie,Ks,54.35035155,18.6558259,,
mzn2045376634,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-174m2-mzn2045376634,Nadmorski apartament z widokiem na park,6700000.0,PLN,38506.0,174.0,4.0,Gdansk,Zabianka,Wejhera,54.420412,18.5831153,,
mzn2046279149,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-srodmiescie-mariana-seredynskiego-49m2-mzn2046279149,Okazja inwestycyjna w centrum Gdańska,699000.0,PLN,14008.0,49.9,2.0,Gdansk,Srodmiescie,Mariana,54.3359456,18.6655092,,
mzn2044612620,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-zabianka-wejhera-jelitkowo-tysiaclecia-tysiaclecia-32m2-mzn2044612620,Atrakcyjne mieszkanie blisko morza w Jelitkowie,480000.0,PLN,15000.0,32.0,2.0,Gdansk,Zabianka,Wejhera,54.420412,18.5831153,,
