wejscie,miasto
sila,Siła
skarzysko-kamienna,Skarżysko-Kamienna
skala,Skała
skoczow,Skoczów
skoroszow,Skoroszów
skorcz,Skórcz
skorka,Skórka
skorzewo,Skórzewo
skeczniew,Skęczniew
skepe,Skępe
smogulecka wies,Smogulecka Wieś
smecino,Smęcino
snopkow,Snopków
sobotka,Sobótka
sokolowice,Sokołowice
sokolowo budzynskie,Sokołowo Budzyńskie
sokolowsko,Sokołowsko
sokolow podlaski,Sokołów Podlaski
sokolka,Sokółka
solec-zdroj,Solec-Zdrój
sosnowka,Sosnówka
sosnicowice,Sośnicowice
spala,Spała
splawie,Spławie
srebrna gora,Srebrna Góra
staniszow,Staniszów
stanislawice,Stanisławice
stanislawie,Stanisławie
stara dabrowa,Stara Dąbrowa
stara koscielnica,Stara Kościelnica
stara wies,Stara Wieś
starczowek,Starczówek
stare jablonki,Stare Jabłonki
stare stracze,Stare Strącze
starogard gdanski,Starogard Gdański
stary dybow,Stary Dybów
stary golebin,Stary Gołębin
stary grodkow,Stary Grodków
stary jaworow,Stary Jaworów
stary wolow,Stary Wołów
stary zagor,Stary Zagór
stary zagan,Stary Żagań
staszow,Staszów
stefanowka,Stefanówka
stepien,Stepień
stodolska,Stodólska
stojadla,Stojadła
storkowko,Storkówko
stronie slaskie,Stronie Śląskie
strumien,Strumień
strykow,Stryków
strzalkowo,Strzałkowo
strzekecino,Strzekęcino
strzelce krajenskie,Strzelce Krajeńskie
strzelecino,Strzelęcino
strzeszow,Strzeszów
strzezenice,Strzeżenice
strzykuly,Strzykuły
stypulow,Stypułów
staporkow,Stąporków
steszew,Stęszew
stezyca,Stężyca
suchan,Suchań
suchedniow,Suchedniów
suchy dwor,Suchy Dwór
suchy dab,Suchy Dąb
sulechow,Sulechów
sulejow,Sulejów
sulejowek,Sulejówek
sulikow,Sulików
sulislawice,Sulisławice
sulecin,Sulęcin
suprasl,Supraśl
suwalki,Suwałki
sulkowice,Sułkowice
sulkowo,Sułkowo
sulow,Sułów
swarzedz,Swarzędz
sycow,Syców
szamotuly,Szamotuły
szalwinek,Szałwinek
szczawno-zdroj,Szczawno-Zdrój
szczepancowa,Szczepańcowa
szklarka slaska,Szklarka Śląska
szklarska poreba,Szklarska Poręba
szudzialowo,Szudziałowo
szydlowiec,Szydłowiec
szymanow,Szymanów
sedzice,Sędzice
sedziszow malopolski,Sędziszów Małopolski
sepolno krajenskie,Sępólno Krajeńskie
slawa,Sława
slawianowo,Sławianowo
slawniowice,Sławniowice
slawno,Sławno
slomin,Słomin
slomniki,Słomniki
slonawy,Słonawy
slonecznik,Słonecznik
slosinko,Słosinko
sloszewy,Słoszewy
slowik,Słowik
slonsk,Słońsk
slubice,Słubice
sludwia,Słudwia
slupca,Słupca
slupno,Słupno
slupsk,Słupsk
slupy,Słupy
tajecina,Tajęcina
targowek,Targówek
tarnowo podgorne,Tarnowo Podgórne
tarnowskie gory,Tarnowskie Góry
tarnow,Tarnów
tczewskie laki,Tczewskie Łąki
teklinow,Teklinów
tomaszow boleslawiecki,Tomaszów Bolesławiecki
tomaszow lubelski,Tomaszów Lubelski
tomaszow mazowiecki,Tomaszów Mazowiecki
topolka,Topólka
torun,Toruń
trzcinsko-zdroj,Trzcińsko-Zdrój
trzebiatow,Trzebiatów
trzesniow,Trześniów
trzesacz,Trzęsacz
trabki wielkie,Trąbki Wielkie
tuchow,Tuchów
tupadly,Tupadły
tulowice,Tułowice
twardogora,Twardogóra
tworog,Tworóg
tymien,Tymień
tyniec maly,Tyniec Mały
tluszcz,Tłuszcz
ujsoly,Ujsoły
ulhowek,Ulhówek
uniejow,Uniejów
uniescie,Unieście
unislaw,Unisław
ursynow,Ursynów
ustron,Ustroń
wadag,Wadąg
walendow,Walendów
wardyn,Wardyń
warta boleslawiecka,Warta Bolesławiecka
wasilkow,Wasilków
wasylow wielki,Wasylów Wielki
wawrzenczyce,Wawrzeńczyce
wawrow,Wawrów
walbrzych,Wałbrzych
walcz,Wałcz
waldowo,Wałdowo
wesola,Wesoła
welna,Wełna
wiadrow,Wiadrów
wichow,Wichów
widziensko,Widzieńsko
wielen,Wieleń
wielichowo-wies,Wielichowo-Wieś
wielka wies,Wielka Wieś
wielowies,Wielowieś
wielun,Wieluń
wieruszow,Wieruszów
wierzchucin krolewski,Wierzchucin Królewski
wiesciszowice,Wieściszowice
wilanow,Wilanów
wilczeniec fabianski,Wilczeniec Fabiański
wilkow,Wilków
wiselka,Wisełka
wisznia mala,Wisznia Mała
wisla,Wisła
witoslaw,Witosław
wiazow,Wiązów
wiecbork,Więcbork
wiekszyce,Większyce
winsko,Wińsko
wislinka,Wiślinka
wisniowa gora,Wiśniowa Góra
wisniowek,Wiśniówek
wisniowka,Wiśniówka
wlen,Wleń
woclawy,Wocławy
wodzislaw slaski,Wodzisław Śląski
wojcieszow,Wojcieszów
wola krakowianska,Wola Krakowiańska
wola rzedzinska,Wola Rzędzińska
wola skorzecka,Wola Skorzęcka
woniesc,Wonieść
wolczyn,Wołczyn
wolkowyja,Wołkowyja
wolomin,Wołomin
wolow,Wołów
wroclaw,Wrocław
wroblowice,Wróblowice
wspolna,Wspólna
wysiolek luborzycki,Wysiołek Luborzycki
wyskoc,Wyskoć
wysoka glogowska,Wysoka Głogowska
wystep,Występ
wyszkow,Wyszków
wyzegi,Wyżegi
wolka grodziska,Wólka Grodziska
wolka kosowska,Wólka Kosowska
wolka panienska,Wólka Panieńska
wolka podlesna,Wólka Podleśna
wolka tarnowska,Wólka Tarnowska
wabrzezno,Wąbrzeźno
wadroze wielkie,Wądroże Wielkie
wagrowiec,Wągrowiec
wasosz,Wąsosz
wedrzyn,Wędrzyn
wegierska gorka,Węgierska Górka
wegierskie,Węgierskie
weglewice,Węglewice
wegliniec,Węgliniec
wegorzewo,Węgorzewo
wegorzewo koszalinskie,Węgorzewo Koszalińskie
wegorzyce,Węgorzyce
wegorzyno,Węgorzyno
wegrzce,Węgrzce
wegrzce wielkie,Węgrzce Wielkie
wegrow,Węgrów
wladyslawowo,Władysławowo
wlochy,Włochy
wloclawek,Włocławek
wlodawa,Włodawa
wlodowice,Włodowice
wlosan,Włosań
wloszakowice,Włoszakowice
wloszczowa,Włoszczowa
