Wejście,Nazwa w TERYT,Typ
Kadyny,Kadyny,
Kajkowo,Kajkowo,
Kąkolewice,Kąkolewice,
Kąkolewo,Kąkolewo,
Kalinowo,Kalinowo,
Kalinowszczyzna,Kalinowszczyzna,
Kaliska,Kaliska,
Kalisz,Kalisz,
Kalisz Pomorski,Kalisz Pomorski,
Kałki,Kałki,
Kalna,Kalna,
Kalsk,Kalsk,
Kamień,Kamień,
Kamienica,Kamienica,
Kamieniec,Kamieniec,
Kamieniec Wrocławski,Kamieniec Wrocławski,
Kamieniec Ząbkowicki,Kamieniec Ząbkowicki,
Kamień Krajeński,Kamień Krajeński,
Kamienna,Kamienna,
Kamienna Góra,Kamienna Góra,
Kamień Pomorski,Kamień Pomorski,
Kamieńsk,Kamieńsk,
Kamień Wielki,Kamień Wielki,
Kamierowskie Piece,Kamierowskie Piece,
Kamionka,Kamionka,
Kamionna,Kamionna,
Kamnica,Kamnica,
Kaniów,Kaniów,
Kapelanka,Kapelanka,
Kąpino,Kąpino,
Kaputy,Kaputy,
Karbowo,Karbowo,
Karczew,Karczew,
Karczmiska Pierwsze,Karczmiska Pierwsze,
Karczów,Karczów,
Karczyn,Karczyn,
Kargowa,Kargowa,
Karlino,Karlino,
Karłowice,Karłowice,
Karnice,Karnice,
Karniowice,Karniowice,
Karnity,Karnity,
Karnków,Karnków,
Karolewo,Karolewo,
Karpacz,Karpacz,
Karpicko,Karpicko,
Karpniki,Karpniki,
Kartuzy,Kartuzy,
Karwia,Karwia,
Karzniczka,Karzniczka,
Katowice,Katowice,
Kąty,Kąty,
Kąty Rybackie,Kąty Rybackie,
Kąty Wrocławskie,Kąty Wrocławskie,
Kazimierza Wielka,Kazimierza Wielka,
Kazimierz Biskupi,Kazimierz Biskupi,
Kazimierz Dolny,Kazimierz Dolny,
Kaźmierz,Kaźmierz,
Kazuń Nowy,Kazuń Nowy,
Kcynia,Kcynia,
Kędzierzyn-Koźle,Kędzierzyn-Koźle,
Kępice,Kępice,
Kępnica,Kępnica,
Kępno,Kępno,
Kęsowo,Kęsowo,
Kęszyca Leśna,Kęszyca Leśna,
Kętrzyn,Kętrzyn,
Kęty,Kęty,
Kielanówka,Kielanówka,
Kielce,Kielce,
Kiełczów,Kiełczów,
Kiełczówek,Kiełczówek,
Kielno,Kielno,
Kiełpino,Kiełpino,
Kiełpin Poduchowny,Kiełpin Poduchowny,
Kiełpiny,Kiełpiny,
Kierzno,Kierzno,
Kietrz,Kietrz,
Kieźliny,Kieźliny,
Kijany,Kijany,
Kiszkowo,Kiszkowo,
Kłaj,Kłaj,
Kłecko,Kłecko,
Kleczew,Kleczew,
Klejniki,Klejniki,
Kleosin,Kleosin,
Klepacze,Klepacze,
Klesno,Klesno,
Kleszczele,Kleszczele,
Kleszczewo,Kleszczewo,
Kleszczewo Kościerskie,Kleszczewo Kościerskie,
Klimkówka,Klimkówka,
Kliniska Wielkie,Kliniska Wielkie,
Kliny,Kliny,
Kłobuck,Kłobuck,
Kłoda,Kłoda,
Kłodawa,Kłodawa,
Kłodzino,Kłodzino,
Kłodzko,Kłodzko,
Klonowa,Klonowa,
Kłos,Kłos,
Kluczbork,Kluczbork,
Kluczewo,Kluczewo,
Kluszkowce,Kluszkowce,
Kmiecin,Kmiecin,
Kniewo,Kniewo,
Knurów,Knurów,
Kobierzyce,Kobierzyce,
Kobyla Góra,Kobyla Góra,
Kobyłka,Kobyłka,
Kobylnica,Kobylnica,
Kobylniki,Kobylniki,
Kochcice,Kochcice,
Kocierz Rychwałdzki,Kocierz Rychwałdzki,
Kocmyrzów,Kocmyrzów,
Kołacz,Kołacz,
Kołaczkowo,Kołaczkowo,
Kołatek,Kołatek,
Kołbaskowo,Kołbaskowo,
Kolbudy,Kolbudy,
Kolbuszowa,Kolbuszowa,
Kołczygłowy,Kołczygłowy,
Kolejowa,Kolejowa,
Kołki,Kołki,
Kolno,Kolno,
Koło,Koło,
Kołobrzeg,Kołobrzeg,
Kołpaki,Kołpaki,
Kołuda Wielka,Kołuda Wielka,
Komańcza,Komańcza,
Komarowo,Komarowo,
Komorniki,Komorniki,
Komorów,Komorów,
Komorowice,Komorowice,
Komorowo,Komorowo,
Komorowo Żuławskie,Komorowo Żuławskie,
Komratowo,Komratowo,
Konarskie,Konarskie,
Konary,Konary,
Kończyce Małe,Kończyce Małe,
Koniecpol,Koniecpol,
Konin,Konin,
Koninko,Koninko,
Konopki Wielkie,Konopki Wielkie,
Konopnica,Konopnica,
Konradów,Konradów,
Końskie,Końskie,
Konstancin-Jeziorna,Konstancin-Jeziorna,
Konstantynów,Konstantynów,
Konstantynów Łódzki,Konstantynów Łódzki,
Kopaczów,Kopaczów,
Kopanica,Kopanica,
Korfantów,Korfantów,
Kórnik,Kórnik,
Koronowo,Koronowo,
Korsze,Korsze,
Korzybie,Korzybie,
Kosakowo,Kosakowo,
Kościan,Kościan,
Kościelec,Kościelec,
Kościelisko,Kościelisko,
Kościelna Wieś,Kościelna Wieś,
Kościernica,Kościernica,
Kościerzyna,Kościerzyna,
Kościeszki,Kościeszki,
Kościuszki,Kościuszki,
Kosierz,Kosierz,
Kosin,Kosin,
Kostomłoty,Kostomłoty,
Kostomłoty Pierwsze,Kostomłoty Pierwsze,
Kostrzyn,Kostrzyn,
Kostrzyn nad Odrą,Kostrzyn nad Odrą,
Koszalin,Koszalin,
Koszęcin,Koszęcin,
Koszwały,Koszwały,
Koszyce Małe,Koszyce Małe,
Koszyce Wielkie,Koszyce Wielkie,
Kotla,Kotla,
Kowal,Kowal,
Kowale,Kowale,
Kowale Oleckie,Kowale Oleckie,
Kowalewo Pomorskie,Kowalewo Pomorskie,
Kowalów,Kowalów,
Kowalowa,Kowalowa,
Kowanówko,Kowanówko,
Kowary,Kowary,
Koziegłowy,Koziegłowy,
Kozielice,Kozielice,
Kozienice,Kozienice,
Koźliny,Koźliny,
Koźmin Wielkopolski,Koźmin Wielkopolski,
Kożuchów,Kożuchów,
Kożuchy,Kożuchy,
Kozy,Kozy,
Kraczki,Kraczki,
Krajenka,Krajenka,
Kraków,Kraków,
Krakowiany,Krakowiany,
Kraków-Podgórze,Kraków-Podgórze,
Krakowska,Krakowska,
Kramarzewo,Kramarzewo,
Krąpiel,Krąpiel,
Krapkowice,Krapkowice,
Krąplewo,Krąplewo,
Krasne,Krasne,
Kraśnica,Kraśnica,
Kraśnik,Kraśnik,
Kraśnik Dolny,Kraśnik Dolny,
Krasnystaw,Krasnystaw,
Kraszewo,Kraszewo,
Kraszowice,Kraszowice,
Krawiecka,Krawiecka,
Krążkowy,Krążkowy,
Kręczki,Kręczki,
Krępsko,Krępsko,
Krobielewko,Krobielewko,
Krokowa,Krokowa,
Królewiec,Królewiec,
Kromnów,Kromnów,
Krosino,Krosino,
Krośnice,Krośnice,
Krośniewice,Krośniewice,
Krosno,Krosno,
Krosno Odrzańskie,Krosno Odrzańskie,
Krosnowice,Krosnowice,
Krotoszyn,Krotoszyn,
